2024-03-20 11:20:56.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE TABLE "Config" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Key" TEXT NOT NULL, "Value" TEXT NOT NULL)
2024-03-20 11:20:56.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0060419s
2024-03-20 11:20:56.9|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Config (Key)
2024-03-20 11:20:56.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "IX_Config_Key" ON "Config" ("Key" ASC)
2024-03-20 11:20:56.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0072404s
2024-03-20 11:20:56.9|Info|FluentMigrator.Runner.MigrationRunner|CreateTable RootFolders
2024-03-20 11:20:56.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE TABLE "RootFolders" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Path" TEXT NOT NULL)
2024-03-20 11:20:56.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0045016s
2024-03-20 11:20:56.9|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex RootFolders (Path)
2024-03-20 11:20:56.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "IX_RootFolders_Path" ON "RootFolders" ("Path" ASC)
2024-03-20 11:20:57.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0166058s
2024-03-20 11:20:57.0|Info|FluentMigrator.Runner.MigrationRunner|CreateTable Artists
2024-03-20 11:20:57.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE TABLE "Artists" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "ForeignArtistId" TEXT NOT NULL, "MBId" TEXT, "AMId" TEXT, "TADBId" INTEGER, "DiscogsId" INTEGER, "Name" TEXT NOT NULL, "NameSlug" TEXT, "CleanName" TEXT NOT NULL, "Status" INTEGER NOT NULL, "Overview" TEXT, "Images" TEXT NOT NULL, "Path" TEXT NOT NULL, "Monitored" INTEGER NOT NULL, "AlbumFolder" INTEGER NOT NULL, "LastInfoSync" DATETIME, "LastDiskSync" DATETIME, "DateFormed" DATETIME, "Members" TEXT, "Ratings" TEXT, "Genres" TEXT, "SortName" TEXT, "ProfileId" INTEGER, "Tags" TEXT, "Added" DATETIME, "AddOptions" TEXT, "LanguageProfileId" INTEGER NOT NULL DEFAULT 1, "Links" TEXT, "ArtistType" TEXT, "Disambiguation" TEXT, "PrimaryAlbumTypes" TEXT, "SecondaryAlbumTypes" TEXT)
2024-03-20 11:20:57.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.1309453s
2024-03-20 11:20:57.1|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Artists (ForeignArtistId)
2024-03-20 11:20:57.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "IX_Artists_ForeignArtistId" ON "Artists" ("ForeignArtistId" ASC)
2024-03-20 11:20:57.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0065653s
2024-03-20 11:20:57.1|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Artists (NameSlug)
2024-03-20 11:20:57.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "IX_Artists_NameSlug" ON "Artists" ("NameSlug" ASC)
2024-03-20 11:20:57.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0074184s
2024-03-20 11:20:57.1|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex Artists (CleanName)
